Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CHIHUAHUA,2018,8,124.0,110.0,112.0,116.0,194.0,208.0,213.0,220.0,135.0,104.0,139.0,132.0
CHIHUAHUA,2019,8,162.0,151.0,172.0,176.0,209.0,205.0,206.0,186.0,181.0,188.0,197.0,146.0
CHIHUAHUA,2020,8,162.0,173.0,224.0,221.0,194.0,227.0,213.0,244.0,162.0,186.0,141.0,149.0
CHIHUAHUA,2021,8,160.0,152.0,176.0,171.0,212.0,181.0,198.0,195.0,142.0,149.0,152.0,171.0
CHIHUAHUA,2022,8,114.0,112.0,108.0,111.0,153.0,162.0,176.0,182.0,147.0,154.0,124.0,111.0
CHIHUAHUA,2023,8,140.0,150.0,161.0,116.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIUDAD DE MEXICO,2015,9,55.0,60.0,55.0,71.0,78.0,68.0,71.0,67.0,68.0,66.0,71.0,68.0
CIUDAD DE MEXICO,2016,9,65.0,66.0,69.0,70.0,72.0,73.0,74.0,68.0,89.0,82.0,77.0,101.0
CIUDAD DE MEXICO,2017,9,92.0,69.0,71.0,89.0,101.0,94.0,78.0,87.0,96.0,95.0,81.0,95.0
CIUDAD DE MEXICO,2018,9,74.0,115.0,118.0,131.0,115.0,123.0,120.0,109.0,100.0,110.0,102.0,147.0
CIUDAD DE MEXICO,2019,9,132.0,113.0,157.0,114.0,157.0,117.0,115.0,95.0,93.0,95.0,106.0,102.0
CIUDAD DE MEXICO,2020,9,106.0,95.0,120.0,111.0,96.0,96.0,90.0,73.0,73.0,95.0,84.0,89.0
CIUDAD DE MEXICO,2021,9,85.0,80.0,79.0,74.0,100.0,63.0,83.0,78.0,70.0,59.0,78.0,72.0
CIUDAD DE MEXICO,2022,9,45.0,45.0,56.0,58.0,68.0,53.0,63.0,66.0,53.0,60.0,75.0,67.0
CIUDAD DE MEXICO,2023,9,60.0,53.0,83.0,59.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COAHUILA DE ZARAGOZA,2015,5,51.0,21.0,32.0,22.0,24.0,14.0,23.0,21.0,15.0,12.0,17.0,26.0
COAHUILA DE ZARAGOZA,2016,5,17.0,15.0,17.0,23.0,32.0,17.0,17.0,14.0,15.0,14.0,14.0,17.0
COAHUILA DE ZARAGOZA,2017,5,19.0,20.0,16.0,24.0,23.0,21.0,25.0,7.0,19.0,14.0,17.0,17.0
COAHUILA DE ZARAGOZA,2018,5,23.0,15.0,14.0,19.0,22.0,23.0,17.0,18.0,22.0,14.0,20.0,21.0
COAHUILA DE ZARAGOZA,2019,5,29.0,19.0,20.0,17.0,22.0,16.0,20.0,14.0,22.0,13.0,14.0,16.0
COAHUILA DE ZARAGOZA,2020,5,26.0,12.0,21.0,11.0,9.0,21.0,22.0,16.0,14.0,15.0,20.0,7.0
COAHUILA DE ZARAGOZA,2021,5,15.0,9.0,9.0,15.0,10.0,14.0,14.0,8.0,14.0,7.0,13.0,9.0
COAHUILA DE ZARAGOZA,2022,5,11.0,7.0,11.0,16.0,12.0,8.0,13.0,6.0,14.0,10.0,7.0,13.0
COAHUILA DE ZARAGOZA,2023,5,9.0,9.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLIMA,2015,6,8.0,9.0,11.0,7.0,12.0,11.0,8.0,9.0,20.0,15.0,23.0,29.0
COLIMA,2016,6,28.0,39.0,46.0,53.0,37.0,31.0,43.0,40.0,40.0,39.0,48.0,58.0
COLIMA,2017,6,69.0,34.0,48.0,33.0,52.0,78.0,82.0,55.0,48.0,64.0,59.0,76.0
COLIMA,2018,6,56.0,51.0,52.0,46.0,49.0,52.0,41.0,49.0,51.0,69.0,53.0,48.0
COLIMA,2019,6,59.0,45.0,48.0,52.0,59.0,50.0,61.0,58.0,60.0,50.0,62.0,57.0
COLIMA,2020,6,58.0,56.0,49.0,54.0,50.0,42.0,34.0,29.0,39.0,46.0,46.0,41.0
COLIMA,2021,6,49.0,48.0,39.0,37.0,37.0,42.0,40.0,36.0,39.0,38.0,30.0,39.0
COLIMA,2022,6,32.0,58.0,82.0,70.0,74.0,55.0,47.0,63.0,67.0,76.0,55.0,59.0
COLIMA,2023,6,63.0,43.0,63.0,67.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DURANGO,2015,10,17.0,20.0,31.0,28.0,21.0,19.0,22.0,15.0,13.0,14.0,14.0,22.0
DURANGO,2016,10,7.0,15.0,27.0,11.0,20.0,28.0,23.0,21.0,19.0,20.0,19.0,26.0
