Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
SINALOA,2017,25,99.0,103.0,119.0,120.0,143.0,125.0,114.0,101.0,82.0,81.0,80.0,83.0
SINALOA,2018,25,76.0,64.0,86.0,97.0,85.0,105.0,76.0,81.0,72.0,94.0,60.0,67.0
SINALOA,2019,25,70.0,63.0,52.0,73.0,71.0,65.0,70.0,75.0,79.0,66.0,72.0,66.0
SINALOA,2020,25,54.0,53.0,69.0,51.0,56.0,70.0,69.0,65.0,69.0,64.0,50.0,30.0
SINALOA,2021,25,53.0,48.0,42.0,40.0,63.0,43.0,47.0,41.0,54.0,46.0,39.0,40.0
SINALOA,2022,25,32.0,29.0,40.0,40.0,50.0,35.0,35.0,31.0,47.0,30.0,31.0,35.0
SINALOA,2023,25,42.0,31.0,54.0,40.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SONORA,2015,26,36.0,43.0,52.0,32.0,57.0,62.0,67.0,69.0,48.0,56.0,41.0,26.0
SONORA,2016,26,54.0,80.0,56.0,35.0,46.0,49.0,58.0,57.0,51.0,47.0,46.0,51.0
SONORA,2017,26,65.0,48.0,48.0,67.0,60.0,66.0,54.0,56.0,64.0,65.0,80.0,54.0
SONORA,2018,26,44.0,36.0,57.0,58.0,55.0,54.0,78.0,74.0,91.0,68.0,60.0,70.0
SONORA,2019,26,70.0,48.0,66.0,62.0,65.0,128.0,98.0,106.0,90.0,109.0,112.0,108.0
SONORA,2020,26,104.0,105.0,86.0,104.0,125.0,101.0,117.0,129.0,108.0,119.0,109.0,123.0
SONORA,2021,26,125.0,110.0,142.0,147.0,146.0,119.0,158.0,138.0,123.0,136.0,121.0,135.0
SONORA,2022,26,132.0,91.0,112.0,113.0,135.0,119.0,121.0,115.0,121.0,113.0,107.0,164.0
SONORA,2023,26,125.0,113.0,119.0,76.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TABASCO,2015,27,23.0,12.0,18.0,17.0,16.0,22.0,28.0,23.0,18.0,21.0,17.0,18.0
TABASCO,2016,27,11.0,19.0,22.0,18.0,25.0,17.0,22.0,21.0,22.0,28.0,34.0,37.0
TABASCO,2017,27,28.0,34.0,26.0,27.0,32.0,26.0,34.0,36.0,32.0,37.0,35.0,41.0
TABASCO,2018,27,32.0,33.0,32.0,36.0,53.0,53.0,65.0,45.0,35.0,38.0,42.0,44.0
TABASCO,2019,27,36.0,52.0,57.0,64.0,50.0,50.0,39.0,39.0,46.0,54.0,42.0,35.0
TABASCO,2020,27,49.0,47.0,54.0,30.0,31.0,36.0,54.0,45.0,41.0,41.0,37.0,43.0
TABASCO,2021,27,32.0,40.0,35.0,46.0,39.0,33.0,28.0,41.0,34.0,23.0,17.0,22.0
TABASCO,2022,27,28.0,22.0,20.0,23.0,27.0,24.0,26.0,22.0,27.0,24.0,18.0,29.0
TABASCO,2023,27,21.0,18.0,22.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMAULIPAS,2015,28,36.0,67.0,51.0,57.0,44.0,47.0,45.0,46.0,37.0,28.0,44.0,31.0
TAMAULIPAS,2016,28,30.0,40.0,61.0,47.0,47.0,53.0,60.0,45.0,60.0,55.0,50.0,46.0
TAMAULIPAS,2017,28,45.0,49.0,41.0,45.0,72.0,84.0,57.0,69.0,76.0,93.0,93.0,77.0
TAMAULIPAS,2018,28,71.0,69.0,97.0,81.0,96.0,65.0,78.0,67.0,64.0,46.0,52.0,65.0
TAMAULIPAS,2019,28,53.0,59.0,61.0,53.0,47.0,55.0,67.0,61.0,49.0,61.0,48.0,49.0
TAMAULIPAS,2020,28,58.0,73.0,46.0,47.0,51.0,49.0,55.0,51.0,43.0,40.0,30.0,29.0
TAMAULIPAS,2021,28,35.0,39.0,40.0,42.0,47.0,47.0,35.0,56.0,50.0,58.0,37.0,39.0
TAMAULIPAS,2022,28,34.0,23.0,27.0,30.0,38.0,40.0,36.0,46.0,29.0,26.0,26.0,27.0
TAMAULIPAS,2023,28,26.0,23.0,31.0,31.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLAXCALA,2015,29,5.0,3.0,7.0,8.0,2.0,6.0,3.0,4.0,2.0,6.0,5.0,8.0
TLAXCALA,2016,29,6.0,5.0,9.0,3.0,4.0,5.0,7.0,11.0,8.0,5.0,8.0,5.0
TLAXCALA,2017,29,7.0,10.0,11.0,10.0,9.0,10.0,8.0,11.0,11.0,8.0,10.0,15.0
TLAXCALA,2018,29,13.0,16.0,7.0,8.0,14.0,6.0,12.0,10.0,12.0,12.0,5.0,8.0
TLAXCALA,2019,29,15.0,7.0,13.0,14.0,12.0,23.0,7.0,12.0,17.0,8.0,10.0,13.0
TLAXCALA,2020,29,14.0,9.0,13.0,5.0,5.0,8.0,9.0,9.0,15.0,5.0,12.0,5.0
TLAXCALA,2021,29,8.0,6.0,13.0,10.0,11.0,10.0,9.0,7.0,14.0,13.0,9.0,7.0
TLAXCALA,2022,29,5.0,11.0,10.0,18.0,10.0,13.0,9.0,12.0,8.0,17.0,7.0,11.0
TLAXCALA,2023,29,4.0,10.0,17.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERACRUZ DE IGNACIO DE LA LLAVE,2015,30,27.0,34.0,39.0,35.0,35.0,35.0,54.0,51.0,46.0,54.0,59.0,56.0
VERACRUZ DE IGNACIO DE LA LLAVE,2016,30,77.0,48.0,56.0,50.0,74.0,76.0,128.0,174.0,126.0,141.0,124.0,126.0
VERACRUZ DE IGNACIO DE LA LLAVE,2017,30,115.0,113.0,152.0,113.0,137.0,158.0,152.0,153.0,160.0,176.0,141.0,152.0
VERACRUZ DE IGNACIO DE LA LLAVE,2018,30,131.0,124.0,147.0,134.0,135.0,134.0,109.0,119.0,126.0,124.0,110.0,104.0
VERACRUZ DE IGNACIO DE LA LLAVE,2019,30,118.0,124.0,143.0,124.0,124.0,142.0,127.0,127.0,106.0,103.0,95.0,98.0
VERACRUZ DE IGNACIO DE LA LLAVE,2020,30,98.0,102.0,100.0,116.0,92.0,144.0,105.0,130.0,92.0,82.0,106.0,126.0
VERACRUZ DE IGNACIO DE LA LLAVE,2021,30,108.0,93.0,106.0,96.0,96.0,80.0,82.0,93.0,84.0,101.0,78.0,90.0
VERACRUZ DE IGNACIO DE LA LLAVE,2022,30,82.0,56.0,78.0,77.0,77.0,62.0,70.0,86.0,71.0,69.0,59.0,67.0
VERACRUZ DE IGNACIO DE LA LLAVE,2023,30,78.0,47.0,64.0,79.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YUCATAN,2015,31,1.0,1.0,8.0,3.0,8.0,4.0,7.0,1.0,4.0,2.0,4.0,9.0
YUCATAN,2016,31,2.0,9.0,3.0,1.0,5.0,3.0,3.0,6.0,4.0,6.0,6.0,2.0
YUCATAN,2017,31,7.0,6.0,3.0,4.0,2.0,1.0,2.0,6.0,2.0,0.0,2.0,2.0
YUCATAN,2018,31,2.0,4.0,1.0,8.0,3.0,1.0,11.0,6.0,2.0,5.0,2.0,3.0
YUCATAN,2019,31,2.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,1.0,3.0,5.0
YUCATAN,2020,31,3.0,6.0,2.0,3.0,2.0,6.0,4.0,3.0,4.0,5.0,3.0,11.0
YUCATAN,2021,31,6.0,3.0,6.0,3.0,0.0,3.0,7.0,4.0,5.0,1.0,0.0,4.0
YUCATAN,2022,31,4.0,5.0,2.0,1.0,6.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0
YUCATAN,2023,31,2.0,2.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZACATECAS,2015,32,22.0,18.0,20.0,17.0,11.0,20.0,23.0,16.0,19.0,24.0,24.0,18.0
ZACATECAS,2016,32,31.0,36.0,28.0,26.0,38.0,38.0,37.0,57.0,45.0,36.0,34.0,43.0
ZACATECAS,2017,32,47.0,33.0,38.0,41.0,38.0,33.0,54.0,65.0,57.0,69.0,42.0,34.0
ZACATECAS,2018,32,31.0,41.0,48.0,36.0,42.0,44.0,48.0,47.0,59.0,55.0,57.0,53.0
ZACATECAS,2019,32,39.0,35.0,46.0,36.0,49.0,43.0,49.0,36.0,40.0,45.0,48.0,44.0
ZACATECAS,2020,32,39.0,53.0,52.0,56.0,66.0,75.0,63.0,70.0,70.0,62.0,84.0,99.0
ZACATECAS,2021,32,109.0,95.0,80.0,82.0,96.0,75.0,87.0,102.0,119.0,107.0,102.0,80.0
ZACATECAS,2022,32,100.0,56.0,85.0,83.0,72.0,77.0,84.0,71.0,67.0,99.0,98.0,89.0
ZACATECAS,2023,32,93.0,68.0,73.0,72.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
