Año,Entidad,Clave_Ent,Poblacion
2016,NAYARIT,18,1214627.0
2017,NAYARIT,18,1233716.0
2018,NAYARIT,18,1252363.0
2019,NAYARIT,18,1270646.0
2020,NAYARIT,18,1288571.0
2021,NAYARIT,18,1306145.0
2022,NAYARIT,18,1323404.0
2023,NAYARIT,18,1340345.0
2015,NUEVO LEON,19,5205425.0
2016,NUEVO LEON,19,5294203.0
2017,NUEVO LEON,19,5375246.0
2018,NUEVO LEON,19,5454848.0
2019,NUEVO LEON,19,5533147.0
2020,NUEVO LEON,19,5610153.0
2021,NUEVO LEON,19,5685888.0
2022,NUEVO LEON,19,5760358.0
2023,NUEVO LEON,19,5833569.0
2015,OAXACA,20,4019224.0
2016,OAXACA,20,4046494.0
2017,OAXACA,20,4072328.0
2018,OAXACA,20,4096998.0
2019,OAXACA,20,4120741.0
2020,OAXACA,20,4143593.0
2021,OAXACA,20,4165619.0
2022,OAXACA,20,4186832.0
2023,OAXACA,20,4207237.0
2015,PUEBLA,21,6274482.0
2016,PUEBLA,21,6345952.0
2017,PUEBLA,21,6413391.0
2018,PUEBLA,21,6478819.0
2019,PUEBLA,21,6542484.0
2020,PUEBLA,21,6604451.0
2021,PUEBLA,21,6664764.0
2022,PUEBLA,21,6723431.0
2023,PUEBLA,21,6780465.0
2015,QUERETARO,22,2069556.0
2016,QUERETARO,22,2113731.0
2017,QUERETARO,22,2156167.0
2018,QUERETARO,22,2197938.0
2019,QUERETARO,22,2239112.0
2020,QUERETARO,22,2279637.0
2021,QUERETARO,22,2319537.0
2022,QUERETARO,22,2358758.0
2023,QUERETARO,22,2397293.0
2015,QUINTANA ROO,23,1524873.0
2016,QUINTANA ROO,23,1564920.0
2017,QUINTANA ROO,23,1605362.0
2018,QUINTANA ROO,23,1645237.0
2019,QUINTANA ROO,23,1684541.0
2020,QUINTANA ROO,23,1723259.0
2021,QUINTANA ROO,23,1761389.0
2022,QUINTANA ROO,23,1798913.0
2023,QUINTANA ROO,23,1835796.0
2015,SAN LUIS POTOSI,24,2758239.0
2016,SAN LUIS POTOSI,24,2781457.0
2017,SAN LUIS POTOSI,24,2803692.0
2018,SAN LUIS POTOSI,24,2825157.0
2019,SAN LUIS POTOSI,24,2845959.0
2020,SAN LUIS POTOSI,24,2866142.0
2021,SAN LUIS POTOSI,24,2885705.0
2022,SAN LUIS POTOSI,24,2904652.0
2023,SAN LUIS POTOSI,24,2922963.0
2015,SINALOA,25,3015790.0
2016,SINALOA,25,3049383.0
2017,SINALOA,25,3077430.0
2018,SINALOA,25,3104610.0
2019,SINALOA,25,3131012.0
2020,SINALOA,25,3156674.0
2021,SINALOA,25,3181609.0
2022,SINALOA,25,3205838.0
2023,SINALOA,25,3229357.0
2015,SONORA,26,2884754.0
2016,SONORA,26,2922666.0
2017,SONORA,26,2961810.0
2018,SONORA,26,3000127.0
2019,SONORA,26,3037752.0
2020,SONORA,26,3074745.0
2021,SONORA,26,3111119.0
2022,SONORA,26,3146894.0
2023,SONORA,26,3182072.0
2015,TABASCO,27,2426269.0
2016,TABASCO,27,2457373.0
2017,TABASCO,27,2486932.0
2018,TABASCO,27,2515926.0
2019,TABASCO,27,2544372.0
2020,TABASCO,27,2572287.0
2021,TABASCO,27,2599658.0
2022,TABASCO,27,2626490.0
2023,TABASCO,27,2652789.0
2015,TAMAULIPAS,28,3494719.0
2016,TAMAULIPAS,28,3527104.0
2017,TAMAULIPAS,28,3559268.0
2018,TAMAULIPAS,28,3590486.0
2019,TAMAULIPAS,28,3620910.0
2020,TAMAULIPAS,28,3650602.0
2021,TAMAULIPAS,28,3679623.0
2022,TAMAULIPAS,28,3708008.0
2023,TAMAULIPAS,28,3735776.0
2015,TLAXCALA,29,1295194.0
2016,TLAXCALA,29,1314415.0
2017,TLAXCALA,29,1331372.0
2018,TLAXCALA,29,1347932.0
2019,TLAXCALA,29,1364147.0
2020,TLAXCALA,29,1380011.0
2021,TLAXCALA,29,1395545.0
2022,TLAXCALA,29,1410744.0
2023,TLAXCALA,29,1425604.0
2015,VERACRUZ DE IGNACIO DE LA LLAVE,30,8241248.0
2016,VERACRUZ DE IGNACIO DE LA LLAVE,30,8316599.0
2017,VERACRUZ DE IGNACIO DE LA LLAVE,30,8376971.0
2018,VERACRUZ DE IGNACIO DE LA LLAVE,30,8434163.0
